author,content
"
穿裤头去打醋
",情人节，跟老婆出门逛街，路过花店，想进去买束鲜花送给她，看到价格11支鲜花包好要198元，老婆就给我说，买那干什么，平时3_5块钱的东西，现在这么贵，有那200块钱，能买多少好吃的，别花那冤枉钱了。你上班这么辛苦，我不要你给我买东西，只要你疼我就够了。老婆的一番话说的我顿时感动不已。然后刚感受到幸福两分钟，她转身拉我去了苹果店，用我工资卡刷了一个她念叨已久的手机。  哎，大意了。
"
夏有凉风秋望月
",前一段时间买了一瓶撕拉式手膜，用了一次，涂上去的时候还是 挺 舒 服的，清清凉凉的感觉，等到撕的时候，汗毛都撕下来了，疼的我再也没用过！昨天晚上我突发奇想，脚上没有汗毛，应该可以当脚膜用吧！于是我就涂了上去，等到 膜 干了 往下撕的时候把我脚的干皮都撕下来了，特么的疼死我了！比撕汗毛还疼！我再买这种手膜，谁是狗狗！
"
璃白°
",小时候胆子特小，晚上睡觉时，听到一点动静，就钻进被窝，结果养成了蒙头大睡的坏毛病，书上也说这样睡觉不好，却总是改不了。直到前几年嫁人了，老公不抽烟不喝酒，却喜欢吃炒黄豆和烤红薯。半个月后，我就彻底改变了这个坏毛病。
"
正版煮茶
",那年，我堂弟报考一个大学，分数够了，得知还要体检，那年身高要求特别严格，他身高还差两公分。他很难过，体检前一天晚上灌了一瓶二锅头借酒浇愁，喝完踉踉跄跄走在街上，一头撞墙根上。第二天，他体检通过了，头顶肿起的包，把身高测量尺顶的老高...
"
衣锦夜行的小王子
",八岁小外甥跟我说，他喜欢上了一个小女孩。我问他你知道什么是喜欢吗？他说：我不喜欢胖的但她胖就没事
"
狐地瓜大人
",办了张洗车卡，洗车工是一老大爷，颤颤巍巍的洗车，车子没洗干净，也不好意思让老大爷返工。我开车离开，想着用完卡以后再也不来了。最后一次洗车时是一漂亮妹子接待的，妹子不仅干活麻利而且特会聊天，忽悠我又续办了洗车卡！再来洗车时，洗车工又变成了之前的老大爷…
"
花开二零二一
",一个小孩儿在车上痛哭流涕，我默默弟入上纸巾一张，孩子妈妈愣了一下，默默接过，用纸巾把孩子的嘴堵上。。
"
猫叔．
",二十多岁的时候，跟一个妹子闲聊说，我的择偶要求不高，通情达理就行，她听了呵呵一笑，低下头仿佛自言自语的说：“ 通情达理……”我当时就觉得很奇怪，这很难么？讲道理不是每个人都应该的吗？……这么多年过去了，现在终于明白，跟女人讲道理就像摁老虎吃白菜…
"
鱼歌浅唱
",单位一白莲花体质的妹子调离，大家在商量要不要例行公事开个欢送会。婷婷“如果白莲花不参加，我同意！”
"
老毛的酒
",和一朋友喝酒🍻朋友：我前两天和初恋女友见面了...我：这么巧。朋友：多年未见概慨颇多，一起吃了饭也喝了酒，她喝多了。我：有故事[嘿嘿]朋友：我送她回了酒店......我：来来来，喝一杯然后慢慢讲[嘿嘿]朋友：把她送回酒店后我就走了...[哀怨]我：就没发生点什么[疑问]朋友：我扶她时攥住她的手腕[惊讶]发现她是喜脉[哀怨]
"
狐小乔
",春节后第一天上班，我去跟老板请假，老板不同意：刚刚上班，你再等350多天又春节了，忍一下。我说：我去相亲，没办法等。老板：你还年轻！相亲就更要等了。你想刚过完年，体重增加那么多，现在谁能看上你？但是等350多天后，结果就不一样了。相亲的那位帅哥也许见了七八个，都不合适，再看见你，他已经降低了标准，就和你相亲成功了……
"
我是谁∽谁是我
",外甥女的儿子特别的淘气，昨天被外甥女揍了一顿。他哭着抽泣说：等我长大了我就。。。。还没等他说完，外甥女婿在边上打断他“呦，咋了你想造反了是吧，等你长大了怎么样，还敢揍你妈？。小家伙被吓的哆嗦的说：等我长大了也生个儿子，让我媳妇使劲地揍他？我也边上看着不拉。。
"
璃白°
",和老公恋爱的时候，第一次带他去我家，老公很紧张，脚一直打着哆嗦。我鼓励他：别紧张，我爸妈很好说话的。到了我家，我爸站在门口迎接，他好像也很紧张，脚也打着哆嗦。应该是一时紧张口误， 对我老公说道：来了，老弟。老公一愣，涨红着脸：是啊，哥，我嫂子呢？
"
南九
",跟老婆孩子一起去看电影。咯咯咯......贾玲拍的确实很感人，大家一边看一边抹眼泪。正看着，女儿哭声突然变大，我贴近女儿耳朵说:宝宝，电影很感人对不对！可是咱们要小点声音哭，不要影响到别人。女儿抬起手，把爆米花桶递到我面前，说:你把爆米花都吃没啦……呜呜呜……
"
爱新觉罗.黄瓜
",媳妇感叹，说是下辈子一定要找一个会做吃的还会挣钱的男人嫁了。我告诉她：“武大郎符合你的要求，不但会做炊饼还会卖炊饼！”唉！女人啊，说不过就动手动脚，一脚将我踹到床下去了…
"
a依然美好
",给狗取名要趁小，我有个朋友养了一只狗，一直没决定叫什么名字。导致后来狗子长大了，坚定不移的认为自己叫“过来吃饭”。
"
图图的耳朵会动耶
",家里就最后五个鸡腿了，全都烤了，跟儿子一起吃。儿子说：咱们玩个小游戏啊，每个人一次最多只能拿俩鸡腿，吃完才能再拿一个，最后看谁多吃一个！我很感兴趣，答应了！儿子狡黠一笑，率先拿起一个鸡腿啃了起来！我乐了，拿起俩鸡腿，三下五除二就啃完了，笑嘻嘻地把最后俩鸡腿也拿在了手里，刚啃完一个鸡腿的儿子，看着空空的盘子，还有我手里的的俩鸡腿，都快哭了！
"
逍遥花落人不知
",在某 软 件上玩有奖知识问答，居然中了个免费双语教学课程。然后客 服 的电话就开始对我轰炸了，先打了几次我没接，后来决定还是接了吧。接通后就听一个甜甜的声音说:“小朋友你准备好了吗，趁着还有十来天开学我可以尽可能的教你”。然后我问她:“你如何教一个三十二岁的小朋友快速学习呢，然后在打客服发现我被拉黑了
"
段子手阿菲
",🔸2元包年🔸最近疫情反复害怕坐公交上班，但坐了一次后我发现那个时间段几车上乎没乘客。于是乎，就出现了这样一个场景，每天早上上车刷卡，“滴”两元。我：师傅，包车！去金鹰，不要停。师傅：嚣张，跋～扈！……走～嘞！
"
穿裤头去打醋
",刚认识我老婆的时候，感觉她是个小家碧玉，温尔文雅的女生，出去吃饭都吃的很少，奶茶小杯都剩一大半。婚后发现完全是装的，饭量比我这个山东汉子吃的还多，两份烤冷面，三个烤猪蹄，再加一份大杯淤泥波波奶茶，最主要的是她居然比我还能喝。
"
九头纪
",上学的时候谈了一个男朋友，那时候我妈每星期都请我俩吃饭，一次去饭店的路上此男子在我妈面前装 萌 卖 苦 说：阿姨啊，你不知道我们寝室还有老鼠，巴拉巴拉。。。。语毕，我妈来了一句：有老鼠好啊，有肉吃！！当时此男子安静了。哈哈 ……老妈真可爱。
"
空城旧梦她与伞
","刚进初中时，第一节体育课，老师是一个很阳光帅气的小伙子，他对我们说：我很反感把体育课变成文化课，或者让学生自习，这是不负责任的。我们不但要学习好，也要健康的身体，只要我一天是你们的体育老师，我绝不允许其它老师霸占体育课。我们是欢欣鼓舞啊，确实整个初中一年级，我们每节体育课都没落下。谁知初中二年级时，学校来了一个年轻漂亮的女数学老师，几个月后，她把体育老师泡到手了，她只要嗲声嗲气叫一声老公，体育老师就乖乖投降，我们的体育课就全变成数学课了。到初三时，数学老师怀孕，要回家待产
…
查看全文"
"
長相依
",懒没洗衣服，老公没了换洗的秋衣，把我的给了他两件。（没敢告诉他那是前段时候我回娘家，没得穿，村里邻居儿子卖秋衣，家里好几口袋，送我妈好多，我妈当抹布的）昨晚还说这秋衣挺舒服，这次带他回家不能让他看见我家抹布[doge][doge][doge]
"
骑着二哈啃黄瓜
",阿姨说给我介绍她村里小伙，带着我去赴约，小伙子挺阳光，三观很正，聊了一个多小时，挺满意的，内心扑腾腾的，但不能表现出来呀。阿姨拉我来洗手间，问我感觉如何，采购职业本能我就砍起价:东西是不错，就是这价格能不能便宜点，太贵了用的不划算啊。。。
"
逍遥花落人不知
",不知道大家看没看过 聊 斋 志 异 之 小 谢，陶望三被群👻现原形吓他。看完后我一想群👻的恐怖👻脸，我晚上用一个手电照自己下巴也能办到。于是乎我埋伏在我家门口准备吓我哥，可是出门的是我老爸，至于后果如何你们自己想吧
